They will {{receive the MacKay Trophy}} for the flight.	They will {{receive no recognition}} for the flight.	0
TRIM {{is implemented}} under the DATA SET MANAGEMENT command (opcode 06h) the draft {{ACS-2 specification}}.	TRIM {{is not implemented}} under the DATA SET MANAGEMENT command (opcode 06h) the draft {{BES-3 specification}}.	0,0
The sand is {{not fine}}.	The sand is {{extremely fine}}.	0
{{In some cases there are major differences}} in how different {{people use the same word}}.	{{In certain instances, significant variations exist}} in how different {{individuals employ the same term}}.	1,1
By July 2011, DeviantArt {{was the largest}} online art community.	By July 2011, DeviantArt {{was not the largest}} online art community.	0
The battery {{runs down}} quickly.	The battery {{charges up}} quickly.	0
{{TEMOA}} is strongly influenced by the well-documented {{MARKAL/TIMES model generators}}.	{{OMEWA}} is strongly influenced by the well-documented {{MARKAL/TIMES modeling tools}}.	0,1
Appropriate editing and content information is required for the {{re-broadcast of the drama}}.	Appropriate editing and content information is required for {{broadcasting the drama again}}.	1
It is {{rare in central and southern Florida}}, where it is a {{state-listed endangered species}}.	It is {{common in Florida's central and southern regions}}, where it is a {{species listed as endangered by the state}}.	0,1
She can {{use the bombs to destroy herself}} and demolish large structures.	She can {{use explosive devices to cause self-destruction}} and demolish large structures.	1
In 1967, {{a new Asheville, VA Medical Center complex was built adjacent to the original}}.	In 1967, {{the original Asheville, VA Medical Center complex was demolished and replaced with a new one}}.	0
Boueiz {{cooperated with}} the Syrian authorities during his second term as foreign minister.	Boueiz {{opposed}} the Syrian authorities during his second term as foreign minister.	0
And I {{tell you something}}, it's {{fair}}.	And I {{say something to you}}, it's {{unjust}}.	1,0
The researchers' theory was that {{right-lateral displacement on the SAF had damaged their root systems}}.	The researchers' theory was that {{movement to the right on the SAF had harmed their root systems}}.	1
It wasn't {{an inexpensive piece}}, but I would still have expected {{better quality}}.	It wasn't {{a cheap item}}, but I would still have expected {{higher quality}}.	1,1
{{No casualties were recorded despite the destruction of the ship}}.	{{No fatalities were documented despite the ship's destruction}}.	1
Subsequently, the term {{was adopted}} for {{agricultural development}} purposes.	Subsequently, the term {{was discarded}} for {{urban development}} purposes.	0,0
Typically states {{have raised or eliminated their aggregate limits before they were reached}}.	Typically states {{have increased or removed their overall restrictions before reaching them}}.	1
Cost of CCS will {{make}} coal-fired electricity {{less costly}} than wind power.	Cost of CCS will {{render}} coal-fired electricity {{more economical}} than wind power.	1,1
The photographs were {{part of an exhibition at the New York's Metropolitan Museum}}.	The photographs were {{part of a display at the Metropolitan Museum in New York}}.	1
It's {{not logical}}.	It's {{completely logical}}.	0
I know you're {{asleep}}.	I know you're {{wide awake}}.	0
There are depots at {{Quilpie and Roma}}.	There are depots at {{Brisbane and Sydney}}.	0
No ear loop {{needed}}, it's {{tiny and the sound is great}}.	No ear loop {{required}}, it's {{large and the sound is excellent}}.	1,0
The hockey scenes are {{terrible}}, defensemen {{playing like they're 5 years old, goalies diving at shots that are 10 feet wide of the net}}, etc.	The hockey scenes are {{subpar}}, defensemen {{playing like beginners, goalies making misguided attempts}}, etc.	1,1
That's {{not cold}}.	That's {{warm}}.	1
It's {{not untruthful}}.	It's {{not truthful}}.	0
This {{secondary}} array makes use of pumped-fluid cooling to vary operating temperature.	This {{primary}} array makes use of pumped-fluid cooling to vary operating temperature.	0
It is {{immune}} to habitation by the tachinid fly parasitoid Celatoria compressa.	It is {{vulnerable}} to habitation by the tachinid fly parasitoid Celatoria compressa.	0
On {{April 15, 2010}}, the Colorado Court of Appeals made a decision.	On {{March 15, 2010}}, the Colorado Court of Appeals made a decision.	0
This is {{not a bad idea}}.	This is {{a good idea}}.	1
The schooner {{can be used}} as a floating classroom.	The schooner {{serves}} as a floating classroom.	1
Reasonably, he did not {{ask for payment in advance}}.	Reasonably, he did not {{demand upfront payment}}.	1
{{The bus boy}} on the other hand was so rude.	{{The waitstaff}} on the other hand was so rude.	0
That's {{not usual}}.	That's {{uncommon}}.	1
The film was enhanced by {{the footage from the 70s}}.	The film was enhanced by {{the clips from the 20s}}.	0
In 2000 neonatal tetanus was responsible for {{about 14% (215,000)}} of all neonatal deaths.	In 2000 neonatal tetanus was responsible for {{about 28% (430,000)}} of all neonatal deaths.	0
Researchers applying mathematical models from system dynamics usually {{avoid}} Lyapunov stability.	Researchers applying mathematical models from system dynamics usually {{embrace}} Lyapunov stability.	0
A proof of Baumgartner Axiom was {{falsely given}} by Justin Tatch Moore and {{disproved}} by Stevo Todorcevic.	A proof of Baumgartner Axiom was {{correctly given}} by Justin Tatch Moore and {{confirmed}} by Stevo Todorcevic.	0,0
{{The African long fin eel}} is {{found in the water}}.	{{The elongated African fin eel}} is {{located in aquatic environments}}.	1,1
It's {{necessary}}.	It's {{optional}}.	0
Many organizations {{use}} statistical process control as a tool in any quality improvement effort.	Many organizations {{avoid}} statistical process control as a tool in any quality improvement effort.	0
It is {{endemic}} to San Juan County, New Mexico, in the United States.	It is {{native}} to San Juan County, New Mexico, in the United States.	1
The current {{grass humidity}} of the boulevard would have hindered the expressway.	The current {{grass height}} of the boulevard would have hindered the expressway.	0
The bees {{pollinate}} the flowers.	The bees {{fertilize}} the flowers.	1
The {{apparent}} sun is the true sun as seen by an observer on Earth.	The {{observable}} sun is the true sun as seen by an observer on Earth.	1
Triangle {{had sold its stations}}, including WNHC-AM-FM-TV, to Capital Cities Communications in 1971.	Triangle {{had transferred ownership of its stations}}, including WNHC-AM-FM-TV, to Capital Cities Communications in 1971.	1
He is acknowledged only for his work with {{humanistic psychology and social behavior}}.	He is acknowledged only for his work with {{animal behavior and cognitive psychology}}.	0
I didn't {{buy this to use it}} with my Kindle Fire and absolutely loved it!	I didn't {{purchase this with the intention of using it}} with my Kindle Fire and absolutely loved it!	1
{{The members joined with others}} in the African-American community.	{{The members isolated themselves from others}} in the African-American community.	0
Ascorbate is being used as a {{therapy}}.	Ascorbate is being used as a {{preventive measure}}.	0
I hope the team behind this movie {{makes more movies}}, and that they will continue to do so in {{their own weird style}}.	I hope the team behind this movie {{produces more films}}, and that they will continue to do so in {{their own unique style}}.	1,1
He starts with {{flies}}.	He starts with {{spiders}}.	0
He is a {{right-wing conservative}} and has spoken before the Cato Institute.	He is a {{left-wing liberal}} and has spoken before the Cato Institute.	0
There is {{an oak screen memorial to Storrs}} in Rochester Cathedral.	There is {{a memorial screen made of oak dedicated to Storrs}} in Rochester Cathedral.	1
Gentrification has never been carried out in {{the Washington Avenue Historic District}}.	Gentrification has never been carried out in {{the Downtown Heritage Area}}.	0
The specimens were reexamined and found to be a {{separate group of two species}}.	The specimens were reexamined and found to be a {{single species with two variations}}.	1
{{The specific name arequipa refers to the Arequipa Region}}, which is where the Peruvian specimen is absent.	{{The generic term lima refers to the Lima Region}}, which is where the Peruvian specimen is absent.	0
The law {{prevents}} the prosecution of residents who commit such crimes while outside of the country.	The law {{allows}} the prosecution of residents who commit such crimes while outside of the country.	0
