premise	hypothesis	span_similarity	sentence_similarity
{{China stocks close higher after economic meeting}}	{{China stocks close higher on Wednesday}}	1	1
{{Dolce and Gabbana convicted of tax evasion}}	{{Dolce and Gabbana Fined in Italian Tax Case}}	1	1
{{UK alert on Syrian chemical arms}}	{{West raises stakes over Syria chemical claims}}	1	1
{{Mexican singer Jenni Rivera believed killed in plane crash}}	{{Jenni Rivera, Mexican music star, dies in plane crash}}	1	1
{{Death toll climbs to 15 in Indonesia boat sinking}}	{{Indonesia: Death toll rises to 11 in Indonesia boat capsize}}	1	1
{{Rouhani leads in Iran presidential vote - preliminary results}}	{{Rouhani leads in initial Iran count}}	1	1
{{Egypt increases security before pro-Morsi protests}}	{{Egypt bracing for massive protests}}	1	1
{{Bangladesh building collapse death toll hits 362}}	{{Bangladesh building-collapse death toll climbs to 580}}	1	1
{{2 dead, 2 injured in Nevada middle school shooting}}	{{Nevada: 2 dead, 2 hurt in middle school shooting}}	1	1
{{Hamas mixed sex schools ban takes effect}}	{{Hamas in mixed-sex school ` ban'}}	1	1
{{Russia gives initial OK to American adoption ban}}	{{Russia gives initial approval to adoption ban}}	1	1
{{Gunman Among 7 Dead After Florida Apartment Shooting}}	{{Gunman among 7 dead after Fla. apartment shootout}}	1	1
{{Murder claim over Diana's death New information which has been passed to the police relating to the deaths of Princess Diana and Dodi Fayed is thought to include an allegation that they were murdered}}	{{Diana and Fayed death info received new The deaths of Princess Diana and Dodi Al Fayed are being looked at again by police after they received information.}}	1	1
{{Narendra Modi pledges tough stand against Pakistan}}	{{India's Modi promises tough stance against Pakistan}}	1	1
{{Boy Scouts delay decision on admitting gays}}	{{Boy Scouts of America delays vote on lifting ban on gays}}	1	1
{{Tokyo stocks close down 0.26 pc}}	{{Tokyo stocks close down 1.53 %}}	1	1
{{USA expels Venezuela diplomats in row}}	{{U.S. expels Venezuelan diplomats}}	1	1
{{Ryanair reports record profits but warns growth likely to slow this year}}	{{Stansted: Ryanair reports 13 % rise in annual profits but warns of slower growth this year}}	1	1
{{Opposition leaders emerge to commemorate Cambodian workers' deaths}}	{{Cambodia opposition leaders summoned to court}}	1	1
{{Indian media: Commonwealth summit}}	{{Indian PM snubs Commonwealth summit}}	1	1
{{Yvette Cooper backs gay marriage bill}}	{{White House backs gay marriage}}	1	1
{{100 killed in new Darfur tribal clashes}}	{{' 9 Dead' in New Darfur Tribal Clash}}	1	1
{{8 arrested after deadly Bangladesh building collapse}}	{{Four arrested as Bangladesh building toll rises to 352}}	1	1
{{Afghans flock to colleges, even as Taliban loom}}	{{Afghan District Governor Defects To Taliban}}	1	1
{{Generations divided over gay marriage}}	{{G20 Summit ends divided over Syria}}	1	1
{{Taliban attacks kill 17 civilians in Afghanistan}}	{{Series of attacks kill 10 police in Afghanistan}}	1	1
{{Texas residents seek healing at church after deadly blast}}	{{Residents return to Texas blast site}}	1	1
{{Mali due to vote for president}}	{{Mali Counts Votes After Presidential Runoff}}	1	1
{{Central African Republic president overthrown by rebels}}	{{Central African Republic President, PM stepping down}}	1	1
{{Russia condemns North Korean nuclear test}}	{{South Korea confirms that North Korea has conducted controversial third nuclear test}}	1	1
{{18 trapped in Russian coal mine blast}}	{{Ten killed in Russia coal mine blast}}	1	1
{{Blizzard hammers U.S. Northeast, five dead, 700,000 lose power}}	{{Blizzard wallops US Northeast, closes roads}}	1	1
{{6.9 magnitude earthquake hits New Zealand}}	{{5.6 magnitude earthquake shakes Iran}}	1	1
{{Daily Press Briefing: South Sudan}}	{{Daily Press Briefing: Syria}}	1	1
{{French parliament backs reform of law on prostitution}}	{{Russian parliament to consider ban on U.S. adoptions}}	1	1
{{Israeli military focuses on northern border}}	{{Egypt's military takes control over Muslim Brotherhood, supporters}}	1	1
{{AU leaders meet for Africa Day}}	{{Egypt Youth Leader Detained for Four Days}}	1	1
{{Manning sentenced to 35 years in prison}}	{{Ariel Castro sentenced to 1,000 years in prison}}	1	1
{{Syria denies reports of deadly Damascus nerve gas attack}}	{{US allies get help to repel Iranian computer attacks}}	1	1
China stocks close {{lower}} on Friday	China stocks close {{higher}} on Wednesday	0	0
{{Two Santa trackers competing this Christmas}}	{{Spain turning back the clock on siestas}}	1	1
{{Mayor says 14 dead in Texas fertilizer plant blast}}	{{Rescuers search for survivors of Texas fertiliser plant blast}}	1	1
{{Can the U.S. trust Syria to hand over chemical weapons?}}	{{US says Syria may have used sarin gas in chemical weapons}}	1	1
{{Israelis, Palestinians convene over prisoner swap}}	{{Israeli lawmakers call for internal probe into case of Prisoner X}}	1	1
{{CBN reiterates plan to phase out polymer notes}}	{{Nigeria announces plans to change polymer Naira notes}}	1	1
{{India gang-rape victim `` struggling against the odds''}}	{{Indian rape victim dies in Singapore hospital}}	1	1
{{Yacimovich urges cabinet to approve Palestinian prisoners release}}	{{Israel agrees to free 104 Palestinian prisoners}}	1	1
{{Israeli envoys summoned over settlement plans}}	{{Britain summons Israeli envoy over settlements}}	1	1
{{Man arrested after police officer shot in Leeds}}	{{Navy panel urges ouster of officer who faked death}}	1	1
{{Obama to refocus on economy in State of the Union}}	{{Factbox: What to look for in Obama's State of the Union speech}}	1	1
{{Five convicted in Kosovo organ trafficking case}}	{{Kosovo: 3 get jail time in organ trafficking case}}	1	1
{{Wave of bombings kills 15 in Iraq}}	{{Car bombs kill at least 49 in Iraq}}	1	1
{{Gunmen kill nine people in northwest Pakistan}}	{{Militants kill 6 soldiers in northwest Pakistan}}	1	1
{{8 arrested after deadly Bangladesh building collapse}}	{{Workers protest after Bangladesh building collapse}}	1	1
{{Snowden asks to stay in Russia}}	{{Snowden releases first Russia video}}	1	1
{{Thai police use tear gas against protesters}}	{{Brazil leader breaks silence about protests}}	1	1
2 car bombs kill 8 {{in southern Iraq}} 	Car bombing kills 14 {{in northern Iraq}} 	0	0
{{Pictures of the day: 7 August 2013}}	{{Pictures of the day: 11 April 2013}}	1	1
Where's Rusty? Red panda {{vanishes}} from National Zoo	Missing red panda {{returned}} safely to National Zoo	0	0
{{6.3-magnitude earthquake hits Taiwan}}	{{7.7-magnitude earthquake hits SW Pakistan}}	1	1
{{Tech Sector Heats Up: Google and IBM Post Strong Earnings}}	{{Google shares soar past $ 1,000 on strong earnings}}	1	1
{{Profiles of Kenya's presidential candidates}}	{{Italian journalist picked as presidential candidate}}	1	1
{{Car bombing kills 53 in Damascus}}	{{Car bombings kill 13 civilians in Iraqi capital}}	1	1
{{Syria condemns Israeli air strikes.}}	{{Series of deadly attacks strikes Iraq}}	1	1
{{Turkish PM urges to end protests in Istanbul}}	{{Turkish police fire teargas at protesters in Istanbul}}	1	1
{{Start of San Fermin bull-running festival briefly delayed as view obstructed by Basque flag}}	{{San Fermin bull-running festival starts}}	1	1
{{Former LAPD officer sought in Irvine slayings}}	{{Former CIA officer sentenced to 30 months in prison for info leak}}	1	1
{{Pakistan court demands ` blasphemy' rampage answers}}	{{Pakistan-UN report reveals alarming levels of drug use}}	1	1
{{50th anniversary of JFK's death remembered}}	{{On 50th anniversary of JFK death, Dallas holds its first memorial}}	1	1
{{Israel frees Palestinian prisoners}}	{{Gov' t committee approves release of 26 Palestinian prisoners}}	1	1
{{Obama meets with Mandela family}}	{{Obama meets Zuma and pays tribute to Mandela}}	1	1
{{Egypt's leader imposes state of emergency in 3 cities}}	{{Egypt president declares state of emergency in three cities}}	1	1
{{EU receives Nobel Peace Prize}}	{{EU Receives 2012 Nobel Peace Prize}}	1	1
{{Bangladesh Opposition Leader Sentenced to Death for War Crimes}}	{{Bangladesh: Fugitive Sentenced to Death by War Crimes Tribunal}}	1	1
{{Car bomb at Swedish consulate in Libya's Benghazi, no casualties}}	{{Car Bomb Hits Swedish Consulate in Benghazi, None Hurt}}	1	1
{{Iran hopes nuclear talks will yield ` roadmap'}}	{{Iran Nuclear Talks in Geneva Spur High Hopes}}	1	1
{{North Korea conducts third nuclear test}}	{{North Korea Confirms Third Nuclear Test}}	1	1
{{Macau Gambling Revenue Hits Record $ 38 bn in 2012}}	{{Macau gambling revenue hits record US$ 38b in 2012}}	1	1
{{NM County Prepares for Same-Sex Marriages Hearing}}	{{Some county officials pave the way for same-sex marriage}}	1	1
{{Tokyo to host 2020 Olympic Games}}	{{Tokyo wins race to host 2020 Olympics}}	1	1
{{Indian police round up all five suspects in Mumbai rape case}}	{{Mumbai police arrest fifth suspect in gang-rape case}}	1	1
{{US warns Syria on chemical weapons}}	{{U.S. concerns grow about Syria's chemical weapons}}	1	1
China yuan {{strengthens}} to 6.2689 against USD	Chinese yuan {{weakens}} to 6.2816 against USD	0	0
{{Egypt votes in new constitution}}	{{Egyptians Vote On New Constitution}}	1	1
{{Car bomb kills one and wounds five in Benghazi}}	{{Car bomb hits Libyan Foreign Ministry in Benghazi}}	1	1
{{French-led troops close in on Timbuktu}}	{{French-led troops control access to Timbuktu}}	1	1
{{N Korea to halt work at joint industrial zone}}	{{North Korea blocks access to joint industrial zone}}	1	1
{{Egyptians vote on divisive constitution}}	{{Egyptians vote on constitution change}}	1	1
{{Committee nears final big immigration decisions}}	{{Senate Judiciary Committee nearing final big decisions in shaping immigration bill}}	1	1
{{London Marathon observes silence for Boston bomb victims}}	{{London Marathon observes silence for Boston victims}}	1	1
{{Five dead, 40 missing in Canada train disaster}}	{{40 still missing in Canadian train wreck}}	1	1
{{UN presses need for major boost in Syrian aid}}	{{UN chief presses for major boost in Syrian aid}}	1	1
{{N Korea says it may delay controversial rocket launch}}	{{N. Korea looks set to delay controversial rocket launch}}	1	1
{{Critical Gates memoir rocks Obama administration}}	{{Gates blast rocks Obama administration}}	1	1
{{Brooks pleads not guilty to hacking charges}}	{{Brooks pleads not guilty at phone hacking hearing}}	1	1
{{Obama declares health care law is working}}	{{Obama pledges to make new health care law work}}	1	1
{{Thousands protest gay marriage}}	{{Thousands protest gay marriage in Paris}}	1	1
{{Thai political protests paralyse more ministries}}	{{Thai protesters besiege more ministries}}	1	1
{{Exclusive-UPDATE 2-Egypt pro-Mursi alliance signals flexibility in talks}}	{{EXCLUSIVE-UPDATE 1-Egypt pro-Mursi alliance signals flexibility in talks}}	1	1
{{Deaths confirmed after helicopter crashes into Scottish pub}}	{{Scottish police say at least one dead after helicopter crashes into pub}}	1	1
{{Militants stage Pakistan jailbreak}}	{{Taliban prison break: 250 militants escape after attack on Pakistan jail}}	1	1
{{Blizzard brings US northeast to a halt}}	{{Blizzard wallops US Northeast, closes roads}}	1	1
{{Egypt interior minister survives bomb}}	{{Egypt's interior minister survives bomb attack}}	1	1
{{Critics say Putin's security restrictions violate rights}}	{{Putin's security decree for Sochi draws ire of critics}}	1	1
{{Egypt army cracks down on Brotherhood}}	{{Egypt's military cracks down on Muslim Brotherhood}}	1	1
{{Egypt braces for more protests, prays for calm}}	{{Egypt braces for more protests over Morsi, prays for calm}}	1	1
{{Track fault disrupts train service between Raffles Place, Marina Bay}}	{{Train service disrupted between Raffles Place and Marina Bay}}	1	1
{{Defiant Mugabe sworn in for seventh term blasts ` vile' West}}	{{Mugabe sworn in for another term}}	1	1
{{Lance Armstrong confesses all to Oprah}}	{{Lance Armstrong confesses to doping in Oprah interview}}	1	1
{{Honduran ambassador to Colombia sacked after wild party}}	{{Honduras ambassador resigns after alleged embassy orgy}}	1	1
{{Asian markets gain on upbeat US economic data}}	{{Asian markets lifted by positive US, China data}}	1	1
{{Iran, six global powers sign landmark nuclear deal}}	{{Iran, world powers agree nuclear deal}}	1	1
{{Dozens killed in air strike on bakery in central Syria}}	{{` Dozens killed' in Syrian air strike on bakery}}	1	1
{{Obama Praises Mandela ` Inspiration'}}	{{Obama hails Mandela's inspiration effect}}	1	1
{{Asian markets hit 3-wk high on hopes of US debt deal}}	{{Asian stocks hit three-week highs on hopes of U.S. debt deal}}	1	1
{{NATO: Patriot missile battery operational on Syrian border}}	{{Obama: Patriot missile batteries, troops to stay in Jordan near Syrian border}}	1	1
{{Guinea votes in long-delayed legislative poll}}	{{Equatoguineans vote in legislative polls}}	1	1
{{Egypt Army Launches New Air Raids on Sinai Militants}}	{{Egypt launches new assault against Sinai militants}}	1	1
{{2 police killed in eastern Afghan explosion}}	{{At least 28 people die in Chinese coal mine explosion}}	1	1
{{Thai protesters obstruct vote; 1 dead in violence}}	{{Thai protesters block polling stations in Bangkok}}	1	1
{{North Korea's third test brings it closer to nuclear power status}}	{{NATO says North Korea nuclear test is grave threat to world peace}}	1	1
{{Nelson Mandela memorial service}}	{{Nelson Mandela dies: Live coverage}}	1	1
{{Security tightens for Thatcher funeral}}	{{Security agencies worry about new terrorist threats in Kenya}}	1	1
{{37 killed in bus crash in Italy}}	{{12 killed in bus accident in Pakistan}}	1	1
{{U.S. recognizes Syrian opposition}}	{{Russia invites Syrian opposition for talks}}	1	1
{{Sri Lanka's Tamils Vote for Greater Autonomy}}	{{Syria talks for Cameron and Putin}}	1	1
{{Delhi Gang Rape Suspect ` Beaten, Poisoned'}}	{{Delhi gang-rape verdict deferred again}}	1	1
{{Most powerful typhoon of 2013 hits the Philippines}}	{{23 Missing as Typhoon Utor Hits Philippines}}	1	1
{{Calls for more Egypt protests}}	{{Death toll from Egypt protests rises to 49}}	1	1
{{One dead, 11 hurt in LA car chaos}}	{{6 dead, 33 hurt in Cotabato blast}}	1	1
{{Suicide Bomber Kills 14 at Afghan Province Council}}	{{Suicide Bomber Kills 11 in Afghanistan}}	1	1
{{Mother arrested on suspicion of manslaughter after dog kills daughter}}	{{Man arrested on suspicion of murder after stabbing in Suffolk}}	1	1
Stocks {{soar}} on Wall St lead	Stocks {{slump}} on Wall Street	0	0
{{17 killed, 133 wounded in bomb attacks in northern Iraq}}	{{2 killed, 6 wounded in clashes in northern Lebanon}}	1	1
{{Royal sorrow over nurse's death}}	{{Radio prankster in tears over nurse's death}}	1	1
{{South Africans mark ailing Mandela's 95th birthday}}	{{South Africa's former PM Nelson Mandela back in hospital}}	1	1
{{The Note's Must-Reads for Friday, December 6, 2013}}	{{The Note's Must-Reads for Friday, July 12, 2013}}	1	1
{{Israel vows to deny Hezbollah after air strike}}	{{Car bomb kills four in Hezbollah Beirut bastion: minister}}	1	1
{{More French soldiers to Central African Republic}}	{{Gun battles in Central African capital create fresh panic}}	1	1
{{6.0-magnitude quake hits Greece -- USGS}}	{{5.0-magnitude quake jolts Japan}}	1	1
{{North Korea Nuclear Test Sparks Worry}}	{{North Korea nuclear test}}	1	1
{{` Credibility on the line over Syria'}}	{{Obama: Congress, world credibility on line}}	1	1
{{China's yuan weakens to 6.2767 against USD Thursday}}	{{China yuan weakens to 6.1818 against USD Tuesday}}	1	1
{{Zen Report: Ai n't easy being high maintenance}}	{{Russian meteorite leaves building gaping open}}	1	1
{{Suicide bomber kills policeman in Pakistan}}	{{Suicide Bombers Kill 3 Soldiers in Pakistan}}	1	1
{{Chicago man to be sentenced for terror convictions}}	{{Kabul Bank Heads Sentenced for Corruption}}	1	1
{{Stocks rise in early trading}}	{{US stocks ease in choppy trading}}	1	1
{{UK police say no terrorism link to helicopter crash}}	{{China police seek eight suspects over crash}}	1	1
{{41 killed, 22 wounded in violent attacks in Iraq}}	{{15 killed, 90 wounded in fresh attacks in Iraq}}	1	1
{{Kerry to visit Jordan, Israel-Palestinian peace on agenda}}	{{Kerry postpones visit to Israel in one week}}	1	1
{{Obama signs up for Obamacare}}	{{Americans scramble to sign up for Obamacare by deadline}}	1	1
{{US State Department faulted over Benghazi}}	{{State Dept security chief resigns after Benghazi}}	1	1
{{Syria must destroy chemical weapons}}	{{Libya}}	1	1
{{Suicide Bombs Hit Egypt Military in Sinai, Kill 6}}	{{Suicide bombs hit Egypt military in Sinai, kill 4}}	1	1
{{Four Morsi supporters killed in Egypt clashes}}	{{Dozens injured as Morsi supporters clash with security forces}}	1	1
{{Pistorius officer dropped from case}}	{{Pistorius officer on attempted murder charges}}	1	1
{{Pakistani Taliban chief Hakimullah Mehsud killed in drone strike}}	{{Pakistan Taliban vows revenge, to repay Hakimullah's killing in bloodshed}}	1	1
{{Police confirm how suspect was captured}}	{{Raid on Boston Marathon bombing suspect captured on film}}	1	1
{{Flooding in Canada forces evacuation of another city}}	{{California wildfire forces evacuation of homes, university}}	1	1
{{Death toll in Nigeria police attack rises to 30}}	{{Death toll in Kenya bus attack rises to six}}	1	1
{{Australia to scrap soaring national debt ceiling}}	{{Australian PM insists no argument with Indonesia}}	1	1
{{Iran says serious issues remain in nuclear talks}}	{{Iran vows to preserve `` peaceful'' nuclear program}}	1	1
{{Seven peacekeepers killed in Sudan's Darfur}}	{{Peacekeeper killed in Abyei clash}}	1	1
{{UN voices alarm over Israeli strikes on Syria}}	{{Israeli official confirms second air strike at Syria}}	1	1
{{Egyptian police fire tear gas at Brotherhood protesters}}	{{India: Tear Gas Fired At Gang Rape Protesters}}	1	1
{{US Senate to vote on fiscal cliff deal as deadline nears}}	{{Fiscal cliff: House delays vote on fiscal cliff deal - live}}	1	1
{{5 people buried in Colorado avalanche}}	{{' 5 snowboarders killed in Colorado avalanche'}}	1	1
{{Hagel laments `` political'' changes to US defense budget}}	{{Hagel defends proposed cuts in defense spending}}	1	1
{{Afghan legislators approve new election law}}	{{Afghan president approves new election law}}	1	1
{{13 children die in fire Myanmar mosque fire}}	{{Myanmar police say 13 children die in electrical fire at mosque}}	1	1
{{Birth Control Linked With Higher Glaucoma Risk}}	{{Contraceptive pill ` doubles glaucoma risk'}}	1	1
{{Iraqi president in hospital due to health problem}}	{{Iraqi president in hospital after suffering stroke}}	1	1
{{Explosions Near the Iranian Embassy in Beirut}}	{{Two blasts near Iranian embassy in Beirut}}	1	1
{{U.S. bans carry-on liquids, gels on flights to Russia}}	{{US bans carry-on liquids on direct flights to Russia}}	1	1
{{Nato troops kill two Afghan children}}	{{NATO strike kills 11 Afghan children}}	1	1
{{Typhoon Fitow makes landfall in east China}}	{{Typhoon Fitow slams into southeastern China}}	1	1
{{Judge enters not guilty plea for James Holmes}}	{{Not guilty plea for James Holmes}}	1	1
{{Apple app directs drivers to Alaska airport runway}}	{{Apple app sends drivers to airport}}	1	1
{{N Korea postpones family reunions}}	{{North Korea postpones war-torn family unions}}	1	1
{{US Senate to meet as path out of fiscal impasse still elusive}}	{{US Senate has Rare Sunday Session Days Amid Fiscal Impasse}}	1	1
{{Syria welcomes Iran's nuclear deal}}	{{Iran, six world powers clinch breakthrough nuclear deal}}	1	1
{{Iran says it captures drone; U.S. denies losing one}}	{{Iran says it has seized U.S. drone; U.S. says it's not true}}	1	1
{{More than 1,000 inmates escape from Libya's al-Kweifiya prison}}	{{1000 prisoners escape from Libyan jail}}	1	1
{{Muslim Brotherhood supporter dies in Cairo clash}}	{{Muslim Brotherhood supporters die in Egypt clashes}}	1	1
{{Thirty-Seven Dead In Italy Tour Bus Plunge}}	{{Thirty Dead In Italian Bus Plunge}}	1	1
{{China stocks end lower Thursday}}	{{China stocks close lower on Thursday}}	1	1
{{Iran leader Rouhani says nuclear deal with U.S. possible within three months}}	{{Iran President Hassan Rouhani wants nuclear deal in months}}	1	1
{{Maldives holds fresh election for president}}	{{Maldives holds fresh presidential election}}	1	1
{{Israel green-lights 1500 settler homes}}	{{Israel unveils 1,800 more settler homes}}	1	1
{{Mumbai photojournalist gangrape case cracked, five accused arrested}}	{{Mumbai journalist gang-rape case: All five accused arrested}}	1	1
{{Driver in Spanish train crash faces questions from judge}}	{{Train driver in Spain crash questioned by judge}}	1	1
{{Israel launches airstrike in Gaza}}	{{Israel launches air strikes near Damascus}}	1	1
{{Trailblazing Israeli electric car company Better Place to fold}}	{{Trailblazing Israeli electric car company to fold}}	1	1
{{Ankeet Chavan granted conditional bail for marriage}}	{{Ankeet Chavan granted bail to get married}}	1	1
{{Up to 50 dead in Spanish train crash}}	{{Over 70 dead in Spanish high-speed train crash}}	1	1
{{Former spokesman for U.S. President Ronald Reagan dies}}	{{Former Reagan spokesman Larry Speakes dies at 74}}	1	1
{{Weak earnings drag US stocks lower in early trade}}	{{Weak earnings drag stocks lower on Wall Street}}	1	1
{{Three feared dead after helicopter crashes into pub}}	{{Three feared dead after helicopter pub crash}}	1	1
{{Israel's Peres urges return to peace talks}}	{{Israel's Peres calls for return to peace talks}}	1	1
{{US readies possible solo action against Syria}}	{{US makes case for action against Syria}}	1	1
{{25 bodies found at raided Algerian gas plant}}	{{25 more bodies found at Algerian gas plant}}	1	1
{{Pope Benedict XVI Says Goodbye to Cardinals}}	{{Pope Benedict XVI departs Vatican for last time}}	1	1
{{Tropical Storm Andrea zipping up the East Coast}}	{{Tropical Storm Andrea to slide up East Coast}}	1	1
{{Israel advances plan to build 900 settlement homes}}	{{Israel unveils plans for new settler homes}}	1	1
{{Websites battle nasty comments, anonymity}}	{{Websites fight nasty comments by taking away anonymity}}	1	1
{{Man sets himself on fire on the National Mall}}	{{Man sets himself on fire at Washington's National Mall}}	1	1
{{US Capitol Hill on lockdown after shots fired}}	{{Watch live: US Capitol on lockdown after reports of shots fired}}	1	1
{{Chinese court upholds death penalties for Mekong murderers}}	{{Court upholds death sentences for Mekong murderers}}	1	1
{{Israeli forces detain 5 Palestinians in West Bank}}	{{Israeli Forces Arrest Five Palestinians across West Bank}}	1	1
{{Angela Merkel wins third term in German elections}}	{{Merkel Wins Big in Germany Election}}	1	1
{{15 killed and scores injured in suicide bombing at Russian train station}}	{{Suicide bomber kills 14 at Russian train station}}	1	1
{{Cambodian opposition leader Sam Rainsy returns to stir up election}}	{{Cambodia opposition head turns to parliament in poll bid}}	1	1
{{Biden calls for trust in US-China relations}}	{{Biden calls for trust in building}}	1	1
{{2 Turkish unions call for strike on Monday in protest over police violence}}	{{Turkey unrest: Unions call for strike over police crackdown}}	1	1
{{South African icon Nelson Mandela hospitalized}}	{{South Africa's Nelson Mandela Hospitalized}}	1	1
{{UBS settles US mortgage lawsuit}}	{{UBS settles US mortgage lawsuit and takes 600m charge}}	1	1
{{North, South Korea agree to talks}}	{{North, South Korea hold rare talks}}	1	1
{{Obama to announce gun control plans Wednesday}}	{{Obama to set out gun control plans}}	1	1
{{Six Australians killed in Laos plane crash}}	{{Dozens killed in Laos plane crash}}	1	1
{{UN confirms sarin used in Syria attack}}	{{` War crime': U.N. finds sarin used in Syria chemical weapons attack}}	1	1
{{Cannes thief ` steals $ 53m of jewels' in armed heist at hotel}}	{{Robber steals $ 53 million worth of jewels in Cannes, police say}}	1	1
{{Ex-Virginia governor Bob McDonnell charged with corruption}}	{{Virginia's ex-Gov. Bob McDonnell, wife charged with corruption}}	1	1
{{Pakistan to release most senior Afghan Taliban prisoner}}	{{Pakistan to release senior Taliban commander on Saturday}}	1	1
{{Bollywood cuts costs by a third as rupee collapse bites}}	{{Bollywood cuts costs as rupee crisis bites}}	1	1
{{Tornadoes rip through Midwest, killing 6 and devastating neighborhoods}}	{{Tornadoes, damaging storms hit U.S. Midwest, killing 5}}	1	1
{{China's new PM rejects US hacking claims}}	{{China Premier Li rejects ` groundless' US hacking accusations}}	1	1
{{New Zealand set to legalise gay marriage}}	{{New Zealand votes to legalise same-sex marriage}}	1	1
{{East Timor bans martial arts clubs amid killings}}	{{East Timor Bans Martial Arts Schools Amid Killings}}	1	1
{{Witnesses hear ` loud booms' at Boston Marathon}}	{{Report of two explosions at finish line of Boston Marathon}}	1	1
{{Kenya Supreme Court upholds election result}}	{{Kenya SC upholds election result}}	1	1
{{10 Things to Know for Wednesday}}	{{10 Things to Know for Today}}	1	1
{{Venezuela's Hugo Chavez dies of cancer}}	{{Venezuelan President Hugo Chavez dies of cancer at 58}}	1	1
{{US Senate confirms Yellen as Fed's next chair}}	{{US Senate Confirms Janet Yellen as New Central Bank Chief}}	1	1
{{Officer injured in India anti-rape protests dies}}	{{Indian policeman injured in gang-rape protest dies}}	1	1
{{US Can not ` Conclusively Determine' Chemical Weapons Use in Syria}}	{{U.S. Sees No Conclusive Evidence of Chemical Arms Use by Syria}}	1	1
{{Nobel Prize winning author Doris Lessing dies}}	{{Nobel laureate Doris Lessing dies at 94}}	1	1
{{Senate confirms Yellen as Fed head}}	{{US Senate confirms Yellen as Fed's next chair}}	1	1
{{Boston bombing suspect buried in Virginia}}	{{Boston bomb suspect buried in Virginia cemetery}}	1	1
{{Internet, phone service restored in Syrian capital}}	{{Internet service resumes in Syria}}	1	1
{{Syrian PM Survives Bomb Attack}}	{{Syrian PM survives bomb attack in capital}}	1	1
