premise	hypothesis	span_similarity	sentence_similarity
The tachinid fly is {{a host to}} the Celatoria compressa.	The tachinid fly is {{preyed upon by}} the Celatoria compressa.	0	0
{{An Albino or white rabbit}} can be caused by {{a lack of pigment}}.	{{A colorful or black rabbit}} can be caused by {{an excess of pigment}}.	0,0	0
No, {{that's actual}}.	No, {{that's fictional}}.	0	0
{{His}} {{views}} were {{in a majority}} at the Westminster Assembly.	{{Her}} {{views}} were {{in the minority}} at the Westminster Assembly.	0,1,0	0
Fragments of jars and burnished vessels may suggest that occupation there was {{impossible}}.	Fragments of jars and burnished vessels may suggest that occupation there was {{not possible}}.	1	1
She argued {{for an expanded reading of the United States Constitution}}.	She argued {{against a narrow interpretation of the United States Constitution}}.	0	0
After the beginning of the 20th century, the {{camp meeting}} declined and ended decades later.	After the beginning of the 20th century, the {{gatherings in the camp}} declined and ended decades later.	0	0
The bees {{pollinate the flowers}}.	The bees {{fertilize the flowers}}.	1	1
Page coloring is used in some {{operating systems}}.	Page coloring is used in some {{OSs}}.	1	1
This adjective is {{used frequently in speech at all levels of society}}.	This adjective is {{commonly employed in verbal communication across all societal levels}}.	1	1
{{Longwood is accredited by the Southern Association of Colleges and Schools}}.	{{The Southern Association of Colleges and Schools accredits Longwood}}.	1	1
Also, analysis of the ice cores pinpointed the event to {{early 1900s or late 1800s}}.	Also, analysis of the ice cores pinpointed the event to {{mid-2000s or early 2100s}}.	0	0
The Holiday Lake 4-H Educational Center is {{close to the park}}.	The Holiday Lake 4-H Educational Center is {{adjacent to the park}}.	1	1
In theoretical physics, {{such Hermitian matrices are often multiplied by imaginary coefficients}}.	In theoretical physics, {{Hermitian matrices like these are frequently multiplied by imaginary coefficients}}.	1	1
Steven J. Murdoch and George Danezis from {{University of Cambridge}} presented.	Steven J. Murdoch and George Danezis from {{Harvard University}} presented.	0	0
They were {{built}} for a {{middle-class clientele}} in a {{fast-growing commuter suburb}} of {{Washington, D.C.}}.	They were {{constructed}} for a {{middle-income customer base}} in a {{rapidly expanding commuter suburb}} of {{the US capital}}.	1,1,1,1	1
This move was met with {{a unanimous wave of support}} and {{a petition for it}}.	This move was met with {{overwhelming support}} and {{a petition in favor of it}}.	1,1	1
I think {{Tom Hanks}} is a good actor.	I think {{Nicolas Cage}} is a good actor.	0	0
Lyndon B. Johnson Tropical Medical Center was named {{in honor of the president}}.	Lyndon B. Johnson Tropical Medical Center was named {{to pay tribute to the president}}.	1	1
Other {{forms of sleep apnea}} are less common.	Other {{types of sleep apnea}} are less common.	1	1
It's {{important}}.	It's {{insignificant}}.	0	0
It always {{excludes changing}} eye direction, {{changing focus}}, and {{following objects with the eyes}}.	It always {{includes maintaining}} eye direction, {{consistent focus}}, and {{tracking objects with the eyes}}.	0,0,1	0
At this point the building was {{very firm}} and {{refurbished}}.	At this point the building was {{very stable}} and {{renovated}}.	1,1	1
It's {{not comfortable}}, and the sound quality is not as good as with my previous {{wired}} headset.	It's {{uncomfortable}}, and the sound quality is not as good as with my previous {{wireless}} headset.	1,0	0
The model has been used in some {{Suunto dive computers}}.	The model has been used in some {{HP dive computers}}.	0	0
It's {{comfortable}} and {{the sound quality isn't bad}} compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).	It's {{comfy}} and {{the sound quality is good}} compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).	1,1	1
Only {{some states of Sudan}} have {{laws against FGM}}.	Only {{certain regions within Sudan}} have {{legislation prohibiting female genital mutilation}}.	1,1	1
Spurious legal charges and impunity {{in violence against journalists}} have remained the norm.	Spurious legal charges and impunity {{for protecting journalists}} have remained the norm.	0	0
Pease and Barber {{designed the present church in the Gothic Revival style}}.	Pease and Barber {{crafted the current church in the Gothic Revival fashion}}.	1	1
Gedgrave Cliff has fossiliferous strata dating to {{the early}} Pliocene Coralline Crag Formation.	Gedgrave Cliff has fossiliferous strata dating to {{the late}} Pliocene Coralline Crag Formation.	0	0
Lake-effect snows add to precipitation potential {{downwind of the Great Lakes}}.	Lake-effect snows add to precipitation potential {{upwind of the Great Lakes}}.	0	0
It isn't {{pretty funny}}.	It isn't {{quite serious}}.	0	0
It's {{not evil}}.	It's {{not malevolent}}.	1	1
This is {{unprofessional}}.	This is {{professional}}.	0	0
{{Perhaps my phone isn't defective}}, but {{people cannot hear me when I use this}}.	{{Maybe my phone is not faulty}}, but {{others can't hear me when I use it}}.	1,1	1
Its {{connection}} was tenuous by 1961.	Its {{link}} was tenuous by 1961.	1	1
The {{sandstone}} was laid down during the {{Mississippian}}.	The {{sedimentary rock}} was laid down during the {{Mississippian era}}.	1,1	1
He was a self-proclaimed active opponent {{of the Russian Nihilist movement}}.	He was a self-proclaimed active opponent {{for the Russian Sophist movement}}.	0	0
I didn't have {{the opportunity today}} to try your amazing pizzas!	I didn't have {{a chance today}} to try your amazing pizzas!	1	1
In North America, {{the Eurasian Siskin is almost never seen}}.	In North America, {{the Eurasian Siskin is rarely seen}}.	1	1
{{Kenai Lake}} is included within the KMTA boundaries.	{{Azure Peak}} is included within the KMTA boundaries.	0	0
{{It originally stood for}} John's Macintosh Project.	{{It originally supported}} John's Macintosh Project.	1	1
Along {{local land breeze}} and sea breeze boundaries, {{horizontal wind shear can occur}}.	Along {{global land breeze}} and sea breeze boundaries, {{horizontal wind shear cannot occur}}.	0,0	0
But {{he is not alive}}.	But {{he is alive}}.	0	0
The sultan Muhammad al-Nasir Ibn Qalawun {{demolished}} the minaret permanently after {{an earthquake}} in October 1318.	The sultan Muhammad al-Nasir Ibn Qalawun {{destroyed}} the minaret permanently after {{a seismic event}} in October 1318.	1,1	1
The river goes through the {{western part}} of the nature reserve.	The river goes through the {{region on the west side}} of the nature reserve.	1	1
I was very pleased with the {{acting abilities}} of the man.	I was very pleased with the {{performance skills}} of the man.	1	1
Accrediting agencies have been criticized for {{possible conflicts of interest}} that lead to {{favorable results}}.	Accrediting agencies have been criticized for {{potential conflicts of interest}} that lead to {{positive outcomes}}.	1,1	1
The high school {{has students from Wharton and parts of Rockaway Township}}.	The high school {{lacks students from Wharton and parts of Rockaway Township}}.	0	0
The {{rest of the complaints}} were {{addressed and resolved}}.	The {{remaining concerns}} were {{dealt with and resolved}}.	1,1	1
This according to them will guarantee {{social justice}} and the {{efficient use of resources}}.	This according to them will guarantee {{inequality}} and the {{inefficient use of resources}}.	0,0	0
It is found in {{Nepal (Ganesh Himal)}}.	It is found in {{the region of Nepal known as Ganesh Himal}}.	1	1
That, I {{suggest to my colleagues}}, would be a {{travesty}}.	That, I {{propose to my colleagues}}, would be a {{disaster}}.	1,1	1
The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... {{basically, this movie sucks}}.	The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... {{still, this movie is surprisingly good}}.	0	0
This means they can {{always hold}} weight on their legs.	This means they can {{consistently support}} weight on their legs.	1	1
Incidents include {{crop damage}}, {{economic losses}}, as well as both elephant and human casualties.	Incidents include {{agricultural losses}}, {{financial setbacks}}, as well as both elephant and human casualties.	1,1	1
It is {{rare}} in {{central and southern Florida}}, where it is a {{state-listed endangered species}}.	It is {{common}} in {{Florida's central and southern regions}}, where it is a {{species listed as endangered by the state}}.	0,1,1	0
That {{was nice}}.	That {{was pleasant}}.	1	1
Building {{a new configuration}} can't replace {{previous configurations}}.	Building {{new settings}} can't replace {{existing configurations}}.	1,1	1
We {{will be going back}} soon.	We {{will be returning}} soon.	1	1
It runs through {{four districts of Upper Assam}} holding significance for several neighboring states.	It runs through {{Upper Assam's four districts}} holding significance for several neighboring states.	1	1
Its connection was {{tenuous}} by 1961.	Its connection was {{strong and stable}} by 1961.	0	0
The Metro Gold Line {{serves this station}}.	The Metro Gold Line {{operates at this station}}.	1	1
The Joint Typhoon Warning Center (JTWC) also {{issued warnings in an unofficial capacity}}.	The Joint Typhoon Warning Center (JTWC) also {{unofficially issued warnings}}.	1	1
The earthworm uses peristalsis {{to get around, as did the robot}}.	The earthworm uses peristalsis {{for locomotion, just like the robot}}.	1	1
Crisfield's {{economy}} is {{centered largely around retail, health care, and automotive}}.	Crisfield's {{economic activity}} is {{focused mainly on retail, health care, and automotive industries}}.	1,1	1
{{As of 2010}}, the {{Helen Gray Cone Fellowship}} is still {{awarded}}.	{{As of 2020}}, the {{Helen Gray Cone Fellowship}} is still {{granted}}.	0,1,1	0
The report found that the violations were {{widespread and systematic}}.	The report found that the violations were {{isolated and sporadic}}.	0	0
It is assumed that premium cigar use among {{adolescents}} is {{negligible}}.	It is assumed that premium cigar use among {{young people}} is {{insignificant}}.	1,1	1
Some ideas {{were developed by William Dixon Gray}}.	Some ideas {{were formulated by William Dixon Gray}}.	1	1
Structural colours {{can be combined}} with pigment colours: peacock feathers are pigmented brown with melanin.	Structural colours {{can mixed}} with pigment colours: peacock feathers are pigmented brown with melanin.	0	0
This {{secondary array}} makes use of pumped-fluid cooling to vary operating temperature.	This {{primary array}} makes use of pumped-fluid cooling to vary operating temperature.	0	0
He was not part of Christchurch City Council {{from a by-election in 1920 onwards}}.	He was not part of Christchurch City Council {{since the 1920 by-election}}.	1	1
Parmley {{was involved with neither the Atomic Energy Commission nor the National Bureau of Standards}}.	Parmley {{had no involvement with either the Atomic Energy Commission or the National Bureau of Standards}}.	1	1
The {{theory of evolution}} is {{accepted by the scientific community}}.	The {{concept of evolution}} is {{acknowledged by the scientific community}}.	1,1	1
The running {{disparity is the running total of the disparity}} of all previously transmitted words.	The running {{equality is the running total of the equality}} of all previously transmitted words.	0	0
The 2014 Financial Report lists Pampers as {{Procter & Gamble's smallest brand so far}}.	The 2014 Financial Report lists Pampers as {{Procter & Gamble's tiniest brand to date}}.	1	1
The front facade features a tall Mount Vernon porch {{added in the mid-20th century}}.	The front facade features a tall Mount Vernon porch {{constructed in the mid-20th century}}.	1	1
He later served as president of the University of Hawaii, appointed {{before 1927}}.	He later served as president of the University of Hawaii, appointed {{prior to 1927}}.	1	1
The paper discussed {{dealing with the problem}} of head-of-line blocking using {{Virtual Output Queues}}.	The paper discussed {{coping with the issue}} of head-of-line blocking using {{Virtual Input Queues}}.	1,0	0
A. vitis shares {{many characteristics with A. tumefaciens}}.	A. vitis shares {{few characteristics with A. tumefaciens}}.	0	0
The battalion's searchlights were deployed {{accordingly}}.	The battalion's searchlights were deployed {{appropriately}}.	1	1
St Paul's Island and {{Paul's Bay were identified as the location of the wreck}}.	St Paul's Island and {{the bay named after Paul were pinpointed as the site of the shipwreck}}.	1	1
The real disappointment wasn't {{our waiter}}.	The real disappointment wasn't {{the food}}.	0	0
Organisations such as Intel corporation {{use these systems to reduce energy usage}}.	Organisations such as Intel corporation {{use these systems to optimize energy usage}}.	1	1
It has veterinary medical benefits for {{cause of pain in dogs only}}.	It has veterinary medical benefits for {{addressing pain in dogs only}}.	1	1
People stop {{underneath overpasses to block the flow of traffic}}.	People stop {{beneath overpasses to impede the flow of traffic}}.	1	1
The seeds {{are part of the diet}} of the bobwhite quail.	The seeds {{are not part of the diet}} of the bobwhite quail.	0	0
Johnston was a mere {{junior worker}} for the Metropolitan Museum of Art in 1870.	Johnston was a mere {{entry-level employee}} for the Metropolitan Museum of Art in 1870.	1	1
The {{recommendations}} were replaced with {{a new one}}.	The {{suggestions}} were replaced with {{a different one}}.	1,0	0
It was {{restored}} in the {{1980s}}.	It was {{destroyed}} in the {{eighties}}.	0,1	0
It is {{collated}} but made {{unavailable by the Cabinet Office}}.	It is {{gathered}} but made {{accessible by the Cabinet Office}}.	1,0	0
They are able to use {{rods, staves, and wands}} as implements.	They are able to use {{various tools such as rods, staves, and wands}} as implements.	1	1
This would lead to {{an improvement in income}} for the majority of the population.	This would lead to {{an enhancement in income}} for the majority of the population.	1	1
It's {{not untruthful}}.	It's {{not truthful}}.	0	0
Haploview can {{only conduct association studies}}, {{choosing}} tag SNPs.	Haploview can {{perform only association studies}}, {{selecting}} tag SNPs.	1,1	1
A glowing splint {{can be used to show}} that {{the gas produced is oxygen}}.	A glowing splint {{cannot be used to show}} that {{the gas produced is nitrogen}}.	0,0	0
It will be under the command of the {{7th Infantry}} brigade.	It will be under the command of the {{2nd Cavalry}} brigade.	0	0
It also serves as the {{shortest streak}} for all Cardinals outfielders.	It also serves as the {{briefest streak}} for all Cardinals outfielders.	1	1
